No. of actors: 2
Average kernel executation time: 49.9633μs   NOTE: First kernel time has been disregarded
Total execution time: 7449795μs


Actor ID | Time to Reach Destination (ms)
-----------------------------------------
       0 |                          5313
       1 |                          6992


Timestep | Average Force (N)
----------------------------
       732 |                     92
       733 |                     80
       734 |                     82
       735 |                     76
       736 |                     76
       737 |                     79
       738 |                     71
       739 |                     71
       740 |                    109
       741 |                     75
       742 |                     85
       743 |                     78
       744 |                     76
       745 |                     78
       746 |                     71
       747 |                     83
       748 |                     76
       749 |                     69
       750 |                     67
       751 |                     72
       752 |                     70
       753 |                     76
       754 |                     74
       755 |                     79
       756 |                     73
       757 |                     73
       758 |                     68
       759 |                     73
       760 |                    115
       761 |                     74
       762 |                     60
       763 |                     71
       764 |                     62
       765 |                    101
       766 |                     72
       767 |                     72
       768 |                     71
       769 |                     75
       770 |                     77
       771 |                     77
       772 |                     75
       773 |                     84
       774 |                     74
       775 |                     69
       776 |                     67
       777 |                     49
       778 |                     53
       779 |                     54
       780 |                    102
       781 |                     68
       782 |                     53
       783 |                     68
       784 |                     49
       785 |                     51
       786 |                     48
       787 |                     48
       788 |                     49
       789 |                     42
       790 |                     45
       791 |                     47
       792 |                     47
       793 |                     45
       794 |                     46
       795 |                     46
       796 |                     55
       797 |                     56
       798 |                     44
       799 |                     49
       800 |                     81
       801 |                     79
       802 |                     66
       803 |                     49
       804 |                     51
       805 |                     49
       806 |                     46
       807 |                     46
       808 |                     45
       809 |                     49
       810 |                     58
       811 |                     47
       812 |                     50
       813 |                     46
       814 |                     60
       815 |                     53
       816 |                     51
       817 |                     49
       818 |                     50
       819 |                     45
       820 |                     76
       821 |                     46
       822 |                     48
       823 |                     55
       824 |                     54
       825 |                     58
       826 |                     49
       827 |                     45
       828 |                     44
       829 |                     47
       830 |                     48
       831 |                     44
       832 |                     44
       833 |                     66
       834 |                     73
       835 |                     78
       836 |                     51
       837 |                     50
       838 |                     63
       839 |                     63
       840 |                     87
       841 |                     52
       842 |                     65
       843 |                     75
       844 |                     57
       845 |                     46
       846 |                     50
       847 |                     75
       848 |                     56
       849 |                     79
       850 |                     67
       851 |                     62
       852 |                     44
       853 |                     52
       854 |                     56
       855 |                     51
       856 |                     48
       857 |                     79
       858 |                    102
       859 |                     65
       860 |                     82
       861 |                     50
       862 |                     57
       863 |                     53
       864 |                     58
       865 |                     48
       866 |                     47
       867 |                     46
       868 |                     45
       869 |                     48
       870 |                     55
       871 |                     55
       872 |                     49
       873 |                     56
       874 |                     76
       875 |                     62
       876 |                     67
       877 |                     74
       878 |                     49
       879 |                     51
       880 |                     76
       881 |                     61
       882 |                     54
       883 |                     55
       884 |                     48
       885 |                     52
       886 |                     54
       887 |                     50
       888 |                     45
       889 |                     45
       890 |                     62
       891 |                     49
       892 |                     50
       893 |                     46
       894 |                     85
       895 |                     77
       896 |                     85
       897 |                     75
       898 |                     67
       899 |                     80
       900 |                    103
       901 |                     86
       902 |                     72
       903 |                     71
       904 |                     68
       905 |                     70
       906 |                     69
       907 |                     72
       908 |                     78
       909 |                     83
       910 |                     76
       911 |                     71
       912 |                     57
       913 |                     48
       914 |                     46
       915 |                     46
       916 |                     50
       917 |                     73
       918 |                     49
       919 |                     51
       920 |                     73
       921 |                     50
       922 |                     50
       923 |                     46
       924 |                     44
